day,attack_records,launched_reported,intercepted_reported,uav_events,missile_events,guided_bomb_events
2024-05-04 00:00:00+00:00,3,18.0,14.0,1,2,0
2024-05-05 00:00:00+00:00,3,25.0,25.0,1,2,0
2024-05-06 00:00:00+00:00,5,19.0,18.0,3,2,0
2024-05-07 00:00:00+00:00,1,2.0,2.0,0,1,0
2024-05-08 00:00:00+00:00,9,78.0,61.0,1,8,0
2024-05-09 00:00:00+00:00,3,25.0,22.0,1,2,0
2024-05-10 00:00:00+00:00,6,16.0,14.0,1,5,0
2024-05-11 00:00:00+00:00,3,6.0,6.0,0,3,0
2024-05-12 00:00:00+00:00,4,4.0,4.0,1,3,0
2024-05-13 00:00:00+00:00,1,1.0,1.0,0,1,0
2024-05-14 00:00:00+00:00,2,19.0,18.0,1,1,0
2024-05-15 00:00:00+00:00,6,6.0,6.0,0,6,0
2024-05-16 00:00:00+00:00,2,2.0,2.0,1,1,0
2024-05-17 00:00:00+00:00,9,33.0,30.0,3,6,0
2024-05-18 00:00:00+00:00,7,20.0,19.0,2,5,0
2024-05-19 00:00:00+00:00,3,39.0,39.0,1,2,0
2024-05-20 00:00:00+00:00,8,37.0,35.0,1,7,0
2024-05-21 00:00:00+00:00,1,29.0,28.0,1,0,0
2024-05-22 00:00:00+00:00,6,29.0,29.0,1,5,0
2024-05-23 00:00:00+00:00,1,1.0,1.0,0,1,0
2024-05-26 00:00:00+00:00,3,45.0,43.0,1,2,0
2024-05-28 00:00:00+00:00,5,10.0,9.0,1,4,0
2024-05-29 00:00:00+00:00,2,14.0,13.0,1,1,0
2024-05-30 00:00:00+00:00,6,54.0,42.0,2,4,0
2024-05-31 00:00:00+00:00,4,12.0,6.0,1,3,0
2024-06-01 00:00:00+00:00,13,107.0,85.0,3,10,0
2024-06-02 00:00:00+00:00,7,31.0,27.0,1,6,0
2024-06-03 00:00:00+00:00,4,4.0,4.0,0,4,0
2024-06-04 00:00:00+00:00,6,10.0,9.0,2,4,0
2024-06-05 00:00:00+00:00,4,31.0,25.0,1,3,0
2024-06-06 00:00:00+00:00,5,23.0,20.0,1,4,0
2024-06-07 00:00:00+00:00,5,61.0,56.0,2,3,0
2024-06-08 00:00:00+00:00,4,20.0,16.0,1,3,0
2024-06-09 00:00:00+00:00,2,2.0,2.0,0,2,0
2024-06-11 00:00:00+00:00,1,2.0,2.0,0,1,0
2024-06-12 00:00:00+00:00,4,30.0,29.0,1,3,0
2024-06-13 00:00:00+00:00,5,7.0,5.0,0,5,0
2024-06-14 00:00:00+00:00,9,38.0,30.0,2,7,0
2024-06-17 00:00:00+00:00,6,7.0,5.0,1,5,0
2024-06-18 00:00:00+00:00,4,14.0,14.0,1,3,0
2024-06-19 00:00:00+00:00,6,26.0,23.0,1,5,0
2024-06-20 00:00:00+00:00,4,36.0,32.0,1,3,0
